Ptpn6	0.993927517640855	Apoc2
Ptpn6	0.969755734009732	Lgals3
Chn2	0.974569137866419	Tuba8
Chn2	0.985299378442229	Bglap2
Chn2	0.992930288649232	Gh
Chn2	0.992310803341103	Gng13
Chn2	0.992338326559473	Dao
Chn2	0.995483703052102	Grm4
Chn2	0.993247008019626	Gabra6
Bglap	0.992155399560131	Tuba8
Bglap	0.996640442436387	Bglap2
Bglap	0.99969231383557	Gh
Bglap	0.994379135821697	Gng13
Bglap	0.971153313122258	Rps6ka1
Bglap	0.99770015708743	Dao
Bglap	0.994825437625612	Grm4
Bglap	0.998014144227015	Gabra6
Ccl2	0.988946213009636	S100a9
Ccl2	0.992686486324637	C4b
Ccl2	0.971830176934562	Hist1h4a
Ccl2	0.99716036456835	Gfap
Ccl2	0.980692357048968	Lgals1
Ccl2	0.986534761406507	Timp1
Ccl2	0.989391080951755	Socs3
Ccl2	0.99491834486935	Lgals3
Fcgr1	0.962405176384949	Ncf1
Fcgr1	0.967994377529751	Psmb9
Fcgr1	0.998166810994998	Ctss
Fcgr1	0.985959325628855	Arpc1b
Fcgr1	0.993816964583191	Ifit3
Fcgr1	0.967272937170429	Fcgr3
Fcgr1	0.976839130943449	Ifitm3
Fcgr1	0.98842546013245	Ifitm1
Fcgr1	0.979591382803622	Irf8
Fcgr1	0.960174662439911	Mpeg1
Fcgr1	0.983397423740014	Alox5ap
Fcgr1	0.975207981402044	Tyrobp
Fcgr1	0.994805677438722	Hmox1
Fcgr1	0.989502791298541	Irgm1
Fcgr1	0.966940671024865	Apoc2
Dusp5	0.986940109395498	Tuba8
Dusp5	0.993543093442416	Bglap2
Dusp5	0.99531062381841	Gh
Dusp5	0.996785666609103	Gng13
Dusp5	0.996403297448638	Dao
Dusp5	0.999628145065242	Grm4
Dusp5	0.998130433556294	Gabra6
Ctsz	0.98185446316072	Ncf1
Ctsz	0.982040588226713	Psmb9
Ctsz	0.971413407027556	S100a9
Ctsz	0.967311975893055	C4b
Ctsz	0.983788542791815	Fcgr3
Ctsz	0.972084976761687	Ifitm3
Ctsz	0.968620577156364	Irf8
Ctsz	0.983802329172551	Hist1h4a
Ctsz	0.993203002089071	Gfap
Ctsz	0.994640699809279	Lgals1
Ctsz	0.967530118307259	Alox5ap
Ctsz	0.978493457427437	Tyrobp
Ctsz	0.961110656254037	Socs3
Ctsz	0.985352280572547	Apoc2
Ctsz	0.998698413726551	Lgals3
Itgb2	0.982041049111803	Ncf1
Itgb2	0.97122262832917	Psmb9
Itgb2	0.971028287428277	S100a9
Itgb2	0.974703766562061	C4b
Itgb2	0.983148858706266	Fcgr3
Itgb2	0.963652770295526	Irf8
Itgb2	0.965837145125075	Hist1h4a
Itgb2	0.996497757792167	Gfap
Itgb2	0.988340502004306	Lgals1
Itgb2	0.966872089472136	Alox5ap
Itgb2	0.972359970377559	Tyrobp
Itgb2	0.962916512402909	Timp1
Itgb2	0.966620424646897	Socs3
Itgb2	0.982279894050892	Apoc2
Itgb2	0.998068073229511	Lgals3
Ly86	0.983986904547922	Ube2c
Ly86	0.975582163465225	Arpc1b
Ly86	0.97610352551527	Ifit3
Ly86	0.960062831925016	Ifitm1
Ly86	0.995173821802776	Mpeg1
Ly86	0.986741546027105	Hist1h2ao
Ly86	0.982559337649073	Irgm1
Eif4ebp1	0.967024281856596	Ncf1
Eif4ebp1	0.980545682888649	Psmb9
Eif4ebp1	0.974224962742111	S100a9
Eif4ebp1	0.95903702731213	C4b
Eif4ebp1	0.972960136046111	Fcgr3
Eif4ebp1	0.970864885683111	Ifitm3
Eif4ebp1	0.983940361699122	Hist1h4a
Eif4ebp1	0.982257922641469	Gfap
Eif4ebp1	0.994894484732569	Lgals1
Eif4ebp1	0.972800887453732	Tyrobp
Eif4ebp1	0.9770558194749	Apoc2
Eif4ebp1	0.991367384204705	Lgals3
Vim	0.961288305205403	Psmb9
Vim	0.960094036706752	Ifitm3
Vim	0.963903789415926	Hist1h4a
Vim	0.96104547710044	Lgals1
Ccl4	0.996931522474327	Mmp3
Ccl4	0.961960390960065	C4b
Ccl4	0.99415344201489	Apoc1
Ccl4	0.973160134951209	Chi3l3
Ccl4	0.972942118137013	Timp1
Ccl4	0.967621338341196	Socs3
Il16	0.977022180806148	Tuba8
Il16	0.98619094500214	Bglap2
Il16	0.990172811775445	Gh
Il16	0.992986247974816	Gng13
Il16	0.991446534044249	Dao
Il16	0.997598552265405	Grm4
Il16	0.993731866420289	Gabra6
Cdh15	0.996348680673792	Tuba8
Cdh15	0.998667061603927	Bglap2
Cdh15	0.997547162022046	Gh
Cdh15	0.995380623011227	Gng13
Cdh15	0.977426893803339	Rps6ka1
Cdh15	0.998006104459945	Dao
Cdh15	0.991524684715056	Grm4
Cdh15	0.996600223757839	Gabra6
Gnmt	0.988409623428026	Tuba8
Gnmt	0.995351996416682	Bglap2
Gnmt	0.999131731030391	Gh
Gnmt	0.997617201018647	Gng13
Gnmt	0.964793277725856	Rps6ka1
Gnmt	0.998971906914798	Dao
Gnmt	0.997112008707344	Grm4
Gnmt	0.998543166378104	Gabra6
Gmnn	0.966270758566374	Mpeg1
S100a11	0.961499523415903	Ifitm3
S100a11	0.974996676274967	Ifitm1
Hfe	0.993968186548563	Ncf1
Hfe	0.994145628398351	Psmb9
Hfe	0.964283217044575	Ctss
Hfe	0.996065198397843	Fcgr3
Hfe	0.98858322241707	Ifitm3
Hfe	0.987609142171628	Irf8
Hfe	0.975429641362563	Hist1h4a
Hfe	0.98200777971557	Gfap
Hfe	0.993105308390801	Lgals1
Hfe	0.987239405112182	Alox5ap
Hfe	0.993353791176046	Tyrobp
Hfe	0.960695931184497	Hmox1
Hfe	0.996996139171861	Apoc2
Hfe	0.991780441055119	Lgals3
Sfpi1	0.989509117488688	Ncf1
Sfpi1	0.991854063040192	Psmb9
Sfpi1	0.992012343705925	Ctss
Sfpi1	0.973875366118473	Arpc1b
Sfpi1	0.983546246721785	Ifit3
Sfpi1	0.990081811656862	Fcgr3
Sfpi1	0.996393153612064	Ifitm3
Sfpi1	0.987660397376602	Ifitm1
Sfpi1	0.997670406176106	Irf8
Sfpi1	0.964166908606393	Lgals1
Sfpi1	0.993866770212832	Alox5ap
Sfpi1	0.993530041842759	Tyrobp
Sfpi1	0.99415777937917	Hmox1
Sfpi1	0.974925839595885	Irgm1
Sfpi1	0.990738843914033	Apoc2
Myd88	0.967121084314558	Ncf1
Myd88	0.978815405467945	S100a9
Myd88	0.987748456200351	C4b
Myd88	0.966998457432222	Fcgr3
Myd88	0.960795686001443	Hist1h4a
Myd88	0.998146734325095	Gfap
Myd88	0.979079336051571	Lgals1
Myd88	0.979043041591246	Timp1
Myd88	0.981180070745687	Socs3
Myd88	0.965729950045051	Apoc2
Myd88	0.995208533926129	Lgals3
Aif1	0.966423609874919	Gnrh1
Aif1	0.992946834560159	Ube2c
Aif1	0.96473969734732	Arpc1b
Aif1	0.961846133937416	Ifit3
Aif1	0.995110479293134	Mpeg1
Aif1	0.988401548303418	Hist1h2ao
Aif1	0.971256207660262	Irgm1
Fcgr2b	0.993943326694678	Ncf1
Fcgr2b	0.992369798470969	Psmb9
Fcgr2b	0.962671144324688	Ctss
